Chemical_ID,End_Point,Model,BMD10,BMDL,BMD50,AUC,Min_Dose,Max_Dose,AUC_Norm,DataQC_Flag,BMD_Analysis_Flag,BMD_Flag,BMD50_Flag
53,ANY24,NULL,NULL,NULL,NULL,3.8406249999999997,0.0,50.0,0.07681249999999999,1,NULL,NULL,NULL
53,ANY120,NULL,NULL,NULL,NULL,4.94375,0.0,50.0,0.09887499999999999,1,NULL,NULL,NULL
53,AXIS,weibull,4507.951,NULL,1891043850992.784,2.781350806451613,0.0,50.0,0.05562701612903226,4,0,1,1
53,ANY_MORT,NULL,NULL,NULL,NULL,4.018750000000001,0.0,50.0,0.08037500000000002,1,NULL,NULL,NULL
53,BRN_,weibull,4507.951,NULL,1891043850992.784,2.781350806451613,0.0,50.0,0.05562701612903226,4,0,1,1
53,CRAN,logistic,104.259,49.671,175.969,1.5161290322580645,0.0,50.0,0.03032258064516129,4,0,1,1
53,DP24,NULL,NULL,NULL,NULL,3.1870967741935483,0.0,50.0,0.06374193548387097,1,NULL,NULL,NULL
53,EDEM,weibull,4507.951,NULL,1891043850992.784,2.781350806451613,0.0,50.0,0.05562701612903226,4,0,1,1
53,LTKR,NULL,NULL,NULL,NULL,0.39677419354838706,0.0,50.0,0.00793548387096774,1,NULL,NULL,NULL
53,MO24,NULL,NULL,NULL,NULL,0.684375,0.0,50.0,0.013687499999999998,1,NULL,NULL,NULL
53,MORT,NULL,NULL,NULL,NULL,0.8484913793103448,0.0,50.0,0.016969827586206895,1,NULL,NULL,NULL
53,MUSC,logistic,76.157,47.973,117.059,1.3516129032258064,0.0,50.0,0.02703225806451613,4,0,1,1
53,NC__,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL
53,NC24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL
53,SKIN,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL
53,SM24,NULL,NULL,NULL,NULL,0.0,0.0,50.0,0.0,1,NULL,NULL,NULL
53,TCHR,NULL,NULL,NULL,NULL,0.7258064516129032,0.0,50.0,0.014516129032258065,1,NULL,NULL,NULL
